,model,dataset,qtype,sc,acc,chinese,cot,shot
87,llama-2-13b-chat,zeroshot-sc+cot-multiple,multiple,no,0.252,no,yes,zeroshot
88,internlm_chat_7b,zeroshot-sc-single,single,yes,0.4595366550301492,no,no,zeroshot
89,internlm_chat_7b,zeroshot-sc-single,single,no,0.4595366550301492,no,no,zeroshot
90,internlm_chat_7b,zeroshot-sc-multiple,multiple,yes,0.08133333333333333,no,no,zeroshot
91,internlm_chat_7b,zeroshot-sc-multiple,multiple,no,0.08133333333333333,no,no,zeroshot
92,internlm_chat_7b,zeroshot-sc+cot-single,single,yes,0.5163440177721358,no,yes,zeroshot
93,internlm_chat_7b,zeroshot-sc+cot-single,single,no,0.5163440177721358,no,yes,zeroshot
94,internlm_chat_7b,zeroshot-sc+cot-multiple,multiple,yes,0.11466666666666667,no,yes,zeroshot
95,internlm_chat_7b,zeroshot-sc+cot-multiple,multiple,no,0.11466666666666667,no,yes,zeroshot
96,chinese-llama-2-13b,zeroshot-sc-single,single,yes,0.3589336718502063,no,no,zeroshot
97,chinese-llama-2-13b,zeroshot-sc-single,single,no,0.3589336718502063,no,no,zeroshot
98,chinese-llama-2-13b,zeroshot-sc-multiple,multiple,yes,0.021333333333333333,no,no,zeroshot
99,chinese-llama-2-13b,zeroshot-sc-multiple,multiple,no,0.021333333333333333,no,no,zeroshot
100,chinese-llama-2-13b,zeroshot-sc+cot-single,single,yes,0.45921929546175816,no,yes,zeroshot
101,chinese-llama-2-13b,zeroshot-sc+cot-single,single,no,0.45921929546175816,no,yes,zeroshot
102,chinese-llama-2-13b,zeroshot-sc+cot-multiple,multiple,yes,0.036,no,yes,zeroshot
103,chinese-llama-2-13b,zeroshot-sc+cot-multiple,multiple,no,0.036,no,yes,zeroshot
104,chinese-alpaca-2-13b,zeroshot-sc-single,single,yes,0.4509679466835925,no,no,zeroshot
105,chinese-alpaca-2-13b,zeroshot-sc-single,single,no,0.4509679466835925,no,no,zeroshot
106,chinese-alpaca-2-13b,zeroshot-sc-multiple,multiple,yes,0.068,no,no,zeroshot
107,chinese-alpaca-2-13b,zeroshot-sc-multiple,multiple,no,0.068,no,no,zeroshot
108,chinese-alpaca-2-13b,zeroshot-sc+cot-single,single,yes,0.5956839098698826,no,yes,zeroshot
109,chinese-alpaca-2-13b,zeroshot-sc+cot-single,single,no,0.5956839098698826,no,yes,zeroshot
110,chinese-alpaca-2-13b,zeroshot-sc+cot-multiple,multiple,yes,0.084,no,yes,zeroshot
111,chinese-alpaca-2-13b,zeroshot-sc+cot-multiple,multiple,no,0.084,no,yes,zeroshot
112,chatglm2-6b,zeroshot-sc-single,single,yes,0.2951443986036179,no,no,zeroshot
113,chatglm2-6b,zeroshot-sc-single,single,no,0.29641383687718187,no,no,zeroshot
114,chatglm2-6b,zeroshot-sc-multiple,multiple,yes,0.042666666666666665,no,no,zeroshot
115,chatglm2-6b,zeroshot-sc-multiple,multiple,no,0.044,no,no,zeroshot
116,chatglm2-6b,zeroshot-sc+cot-single,single,yes,0.42526182164392257,no,yes,zeroshot
117,chatglm2-6b,zeroshot-sc+cot-single,single,no,0.42589654078070455,no,yes,zeroshot
118,chatglm2-6b,zeroshot-sc+cot-multiple,multiple,yes,0.11466666666666667,no,yes,zeroshot
119,chatglm2-6b,zeroshot-sc+cot-multiple,multiple,no,0.116,no,yes,zeroshot
120,baichuan-13b-chat,zeroshot-sc-single,single,yes,0.25007933989209774,no,no,zeroshot
121,baichuan-13b-chat,zeroshot-sc-single,single,no,0.2243732148524278,no,no,zeroshot
122,baichuan-13b-chat,zeroshot-sc-multiple,multiple,yes,0.010666666666666666,no,no,zeroshot
123,baichuan-13b-chat,zeroshot-sc-multiple,multiple,no,0.009333333333333334,no,no,zeroshot
124,baichuan-13b-chat,zeroshot-sc+cot-single,single,yes,0.4550936210726753,no,yes,zeroshot
125,baichuan-13b-chat,zeroshot-sc+cot-single,single,no,0.35163440177721356,no,yes,zeroshot
126,baichuan-13b-chat,zeroshot-sc+cot-multiple,multiple,yes,0.014666666666666666,no,yes,zeroshot
127,baichuan-13b-chat,zeroshot-sc+cot-multiple,multiple,no,0.010666666666666666,no,yes,zeroshot
128,qwen_chat_7b,zh-3shot-sc-single,single,yes,0.5391939066962869,yes,no,3shot
129,qwen_chat_7b,zh-3shot-sc-single,single,no,0.5807680101555062,yes,no,3shot
130,qwen_chat_7b,zh-3shot-sc-multiple,multiple,yes,0.17489986648865152,yes,no,3shot
131,qwen_chat_7b,zh-3shot-sc-multiple,multiple,no,0.1802403204272363,yes,no,3shot
132,qwen_chat_7b,zh-3shot-sc+cot-single,single,yes,0.5509362107267534,yes,yes,3shot
133,qwen_chat_7b,zh-3shot-sc+cot-single,single,no,0.5433195810853697,yes,yes,3shot
134,qwen_chat_7b,zh-3shot-sc+cot-multiple,multiple,yes,0.16822429906542055,yes,yes,3shot
135,qwen_chat_7b,zh-3shot-sc+cot-multiple,multiple,no,0.1548731642189586,yes,yes,3shot
136,llama-2-7b-chat,zh-3shot-sc-single,single,yes,0.46683592510314187,yes,no,3shot
137,llama-2-7b-chat,zh-3shot-sc-single,single,no,0.4411298000634719,yes,no,3shot
138,llama-2-7b-chat,zh-3shot-sc-multiple,multiple,yes,0.1588785046728972,yes,no,3shot
139,llama-2-7b-chat,zh-3shot-sc-multiple,multiple,no,0.15620827770360482,yes,no,3shot
140,llama-2-7b-chat,zh-3shot-sc+cot-single,single,yes,0.6217073944779435,yes,yes,3shot
141,llama-2-7b-chat,zh-3shot-sc+cot-single,single,no,0.5633132338940019,yes,yes,3shot
142,llama-2-7b-chat,zh-3shot-sc+cot-multiple,multiple,yes,0.00801068090787717,yes,yes,3shot
143,llama-2-7b-chat,zh-3shot-sc+cot-multiple,multiple,no,0.006675567423230975,yes,yes,3shot
144,llama-2-13b-chat,zh-3shot-sc-single,single,yes,0.43763884481117105,yes,no,3shot
145,llama-2-13b-chat,zh-3shot-sc-single,single,no,0.44430339574738176,yes,no,3shot
146,llama-2-13b-chat,zh-3shot-sc-multiple,multiple,yes,0.18691588785046728,yes,no,3shot
147,llama-2-13b-chat,zh-3shot-sc-multiple,multiple,no,0.1909212283044059,yes,no,3shot
148,llama-2-13b-chat,zh-3shot-sc+cot-single,single,yes,0.6198032370675975,yes,yes,3shot
149,llama-2-13b-chat,zh-3shot-sc+cot-single,single,no,0.58521104411298,yes,yes,3shot
150,llama-2-13b-chat,zh-3shot-sc+cot-multiple,multiple,yes,0.028037383177570093,yes,yes,3shot
151,llama-2-13b-chat,zh-3shot-sc+cot-multiple,multiple,no,0.04005340453938585,yes,yes,3shot
152,internlm_chat_7b,zh-3shot-sc-single,single,yes,0.4773087908600444,yes,no,3shot
153,internlm_chat_7b,zh-3shot-sc-single,single,no,0.4773087908600444,yes,no,3shot
154,internlm_chat_7b,zh-3shot-sc-multiple,multiple,yes,0.2096128170894526,yes,no,3shot
155,internlm_chat_7b,zh-3shot-sc-multiple,multiple,no,0.2096128170894526,yes,no,3shot
156,internlm_chat_7b,zh-3shot-sc+cot-single,single,yes,0.4827039035226912,yes,yes,3shot
157,internlm_chat_7b,zh-3shot-sc+cot-single,single,no,0.4827039035226912,yes,yes,3shot
158,internlm_chat_7b,zh-3shot-sc+cot-multiple,multiple,yes,0.12149532710280374,yes,yes,3shot
159,internlm_chat_7b,zh-3shot-sc+cot-multiple,multiple,no,0.12149532710280374,yes,yes,3shot
160,chinese-llama-2-13b,zh-3shot-sc-single,single,yes,0.4823865439543002,yes,no,3shot
161,chinese-llama-2-13b,zh-3shot-sc-single,single,no,0.4823865439543002,yes,no,3shot
162,chinese-llama-2-13b,zh-3shot-sc-multiple,multiple,yes,0.14953271028037382,yes,no,3shot
163,chinese-llama-2-13b,zh-3shot-sc-multiple,multiple,no,0.14953271028037382,yes,no,3shot
164,chinese-llama-2-13b,zh-3shot-sc+cot-single,single,yes,0.3808314820691844,yes,yes,3shot
165,chinese-llama-2-13b,zh-3shot-sc+cot-single,single,no,0.3808314820691844,yes,yes,3shot
166,chinese-llama-2-13b,zh-3shot-sc+cot-multiple,multiple,yes,0.0774365821094793,yes,yes,3shot
167,chinese-llama-2-13b,zh-3shot-sc+cot-multiple,multiple,no,0.0774365821094793,yes,yes,3shot
168,chinese-alpaca-2-13b,zh-3shot-sc-single,single,yes,0.4928594097112028,yes,no,3shot
169,chinese-alpaca-2-13b,zh-3shot-sc-single,single,no,0.4928594097112028,yes,no,3shot
170,chinese-alpaca-2-13b,zh-3shot-sc-multiple,multiple,yes,0.21762349799732977,yes,no,3shot
171,chinese-alpaca-2-13b,zh-3shot-sc-multiple,multiple,no,0.21762349799732977,yes,no,3shot
172,chinese-alpaca-2-13b,zh-3shot-sc+cot-single,single,yes,0.4903205331640749,yes,yes,3shot
173,chinese-alpaca-2-13b,zh-3shot-sc+cot-single,single,no,0.4903205331640749,yes,yes,3shot
174,chinese-alpaca-2-13b,zh-3shot-sc+cot-multiple,multiple,yes,0.1602136181575434,yes,yes,3shot
175,chinese-alpaca-2-13b,zh-3shot-sc+cot-multiple,multiple,no,0.1602136181575434,yes,yes,3shot
176,chatglm2-6b,zh-3shot-sc-single,single,yes,0.4084417645192003,yes,no,3shot
177,chatglm2-6b,zh-3shot-sc-single,single,no,0.4084417645192003,yes,no,3shot
178,chatglm2-6b,zh-3shot-sc-multiple,multiple,yes,0.1588785046728972,yes,no,3shot
179,chatglm2-6b,zh-3shot-sc-multiple,multiple,no,0.1588785046728972,yes,no,3shot
180,chatglm2-6b,zh-3shot-sc+cot-single,single,yes,0.4535068232307204,yes,yes,3shot
181,chatglm2-6b,zh-3shot-sc+cot-single,single,no,0.45477626150428435,yes,yes,3shot
182,chatglm2-6b,zh-3shot-sc+cot-multiple,multiple,yes,0.14819759679572764,yes,yes,3shot
183,chatglm2-6b,zh-3shot-sc+cot-multiple,multiple,no,0.14552736982643524,yes,yes,3shot
184,baichuan-13b-chat,zh-3shot-sc-single,single,yes,0.43763884481117105,yes,no,3shot
185,baichuan-13b-chat,zh-3shot-sc-single,single,no,0.415106315455411,yes,no,3shot
186,baichuan-13b-chat,zh-3shot-sc-multiple,multiple,yes,0.03871829105473965,yes,no,3shot
187,baichuan-13b-chat,zh-3shot-sc-multiple,multiple,no,0.04005340453938585,yes,no,3shot
188,baichuan-13b-chat,zh-3shot-sc+cot-single,single,yes,0.6420184068549667,yes,yes,3shot
189,baichuan-13b-chat,zh-3shot-sc+cot-single,single,no,0.5921929546175817,yes,yes,3shot
190,baichuan-13b-chat,zh-3shot-sc+cot-multiple,multiple,yes,0.19492656875834447,yes,yes,3shot
191,baichuan-13b-chat,zh-3shot-sc+cot-multiple,multiple,no,0.17890520694259013,yes,yes,3shot
192,qwen_chat_7b,zh-zeroshot-sc-single,single,yes,0.3373532211996192,yes,no,zeroshot
193,qwen_chat_7b,zh-zeroshot-sc-single,single,no,0.3335449063789273,yes,no,zeroshot
194,qwen_chat_7b,zh-zeroshot-sc-multiple,multiple,yes,0.13885180240320427,yes,no,zeroshot
195,qwen_chat_7b,zh-zeroshot-sc-multiple,multiple,no,0.14018691588785046,yes,no,zeroshot
196,qwen_chat_7b,zh-zeroshot-sc+cot-single,single,yes,0.6217073944779435,yes,yes,zeroshot
197,qwen_chat_7b,zh-zeroshot-sc+cot-single,single,no,0.5874325610917169,yes,yes,zeroshot
198,qwen_chat_7b,zh-zeroshot-sc+cot-multiple,multiple,yes,0.17222963951935916,yes,yes,zeroshot
199,qwen_chat_7b,zh-zeroshot-sc+cot-multiple,multiple,no,0.16421895861148197,yes,yes,zeroshot
200,llama-2-7b-chat,zh-zeroshot-sc-single,single,yes,0.34306569343065696,yes,no,zeroshot
201,llama-2-7b-chat,zh-zeroshot-sc-single,single,no,0.33544906378927325,yes,no,zeroshot
202,llama-2-7b-chat,zh-zeroshot-sc-multiple,multiple,yes,0.1308411214953271,yes,no,zeroshot
203,llama-2-7b-chat,zh-zeroshot-sc-multiple,multiple,no,0.13885180240320427,yes,no,zeroshot
204,llama-2-7b-chat,zh-zeroshot-sc+cot-single,single,yes,0.6854966677245319,yes,yes,zeroshot
205,llama-2-7b-chat,zh-zeroshot-sc+cot-single,single,no,0.6166296413836877,yes,yes,zeroshot
206,llama-2-7b-chat,zh-zeroshot-sc+cot-multiple,multiple,yes,0.01335113484646195,yes,yes,zeroshot
207,llama-2-7b-chat,zh-zeroshot-sc+cot-multiple,multiple,no,0.01335113484646195,yes,yes,zeroshot
208,llama-2-13b-chat,zh-zeroshot-sc-single,single,yes,0.3529038400507775,yes,no,zeroshot
209,llama-2-13b-chat,zh-zeroshot-sc-single,single,no,0.33259282767375437,yes,no,zeroshot
210,llama-2-13b-chat,zh-zeroshot-sc-multiple,multiple,yes,0.1602136181575434,yes,no,zeroshot
211,llama-2-13b-chat,zh-zeroshot-sc-multiple,multiple,no,0.14686248331108145,yes,no,zeroshot
212,llama-2-13b-chat,zh-zeroshot-sc+cot-single,single,yes,0.6801015550618851,yes,yes,zeroshot
213,llama-2-13b-chat,zh-zeroshot-sc+cot-single,single,no,0.6198032370675975,yes,yes,zeroshot
214,llama-2-13b-chat,zh-zeroshot-sc+cot-multiple,multiple,yes,0.1054739652870494,yes,yes,zeroshot
215,llama-2-13b-chat,zh-zeroshot-sc+cot-multiple,multiple,no,0.0801068090787717,yes,yes,zeroshot
216,internlm_chat_7b,zh-zeroshot-sc-single,single,yes,0.4712789590606157,yes,no,zeroshot
217,internlm_chat_7b,zh-zeroshot-sc-single,single,no,0.4712789590606157,yes,no,zeroshot
218,internlm_chat_7b,zh-zeroshot-sc-multiple,multiple,yes,0.18691588785046728,yes,no,zeroshot
219,internlm_chat_7b,zh-zeroshot-sc-multiple,multiple,no,0.18691588785046728,yes,no,zeroshot
220,internlm_chat_7b,zh-zeroshot-sc+cot-single,single,yes,0.45192002538876547,yes,yes,zeroshot
221,internlm_chat_7b,zh-zeroshot-sc+cot-single,single,no,0.45192002538876547,yes,yes,zeroshot
222,internlm_chat_7b,zh-zeroshot-sc+cot-multiple,multiple,yes,0.09746328437917223,yes,yes,zeroshot
223,internlm_chat_7b,zh-zeroshot-sc+cot-multiple,multiple,no,0.09746328437917223,yes,yes,zeroshot
224,chinese-llama-2-13b,zh-zeroshot-sc-single,single,yes,0.27832434147889556,yes,no,zeroshot
225,chinese-llama-2-13b,zh-zeroshot-sc-single,single,no,0.27832434147889556,yes,no,zeroshot
226,chinese-llama-2-13b,zh-zeroshot-sc-multiple,multiple,yes,0.0026702269692923898,yes,no,zeroshot
227,chinese-llama-2-13b,zh-zeroshot-sc-multiple,multiple,no,0.0026702269692923898,yes,no,zeroshot
228,chinese-llama-2-13b,zh-zeroshot-sc+cot-single,single,yes,0.4788955887019994,yes,yes,zeroshot
229,chinese-llama-2-13b,zh-zeroshot-sc+cot-single,single,no,0.4788955887019994,yes,yes,zeroshot
230,chinese-llama-2-13b,zh-zeroshot-sc+cot-multiple,multiple,yes,0.0053404539385847796,yes,yes,zeroshot
231,chinese-llama-2-13b,zh-zeroshot-sc+cot-multiple,multiple,no,0.0053404539385847796,yes,yes,zeroshot
232,chinese-alpaca-2-13b,zh-zeroshot-sc-single,single,yes,0.38368771818470326,yes,no,zeroshot
233,chinese-alpaca-2-13b,zh-zeroshot-sc-single,single,no,0.38368771818470326,yes,no,zeroshot
234,chinese-alpaca-2-13b,zh-zeroshot-sc-multiple,multiple,yes,0.11214953271028037,yes,no,zeroshot
235,chinese-alpaca-2-13b,zh-zeroshot-sc-multiple,multiple,no,0.11214953271028037,yes,no,zeroshot
236,chinese-alpaca-2-13b,zh-zeroshot-sc+cot-single,single,yes,0.5179308156140907,yes,yes,zeroshot
237,chinese-alpaca-2-13b,zh-zeroshot-sc+cot-single,single,no,0.5179308156140907,yes,yes,zeroshot
238,chinese-alpaca-2-13b,zh-zeroshot-sc+cot-multiple,multiple,yes,0.12149532710280374,yes,yes,zeroshot
239,chinese-alpaca-2-13b,zh-zeroshot-sc+cot-multiple,multiple,no,0.12149532710280374,yes,yes,zeroshot
240,chatglm2-6b,zh-zeroshot-sc-single,single,yes,0.3751190098381466,yes,no,zeroshot
241,chatglm2-6b,zh-zeroshot-sc-single,single,no,0.37638844811171057,yes,no,zeroshot
242,chatglm2-6b,zh-zeroshot-sc-multiple,multiple,yes,0.17757009345794392,yes,no,zeroshot
243,chatglm2-6b,zh-zeroshot-sc-multiple,multiple,no,0.17890520694259013,yes,no,zeroshot
244,chatglm2-6b,zh-zeroshot-sc+cot-single,single,yes,0.5080926689939702,yes,yes,zeroshot
245,chatglm2-6b,zh-zeroshot-sc+cot-single,single,no,0.5068232307204062,yes,yes,zeroshot
246,chatglm2-6b,zh-zeroshot-sc+cot-multiple,multiple,yes,0.06275033377837116,yes,yes,zeroshot
247,chatglm2-6b,zh-zeroshot-sc+cot-multiple,multiple,no,0.06275033377837116,yes,yes,zeroshot
248,baichuan-13b-chat,zh-zeroshot-sc-single,single,yes,0.19771501110758488,yes,no,zeroshot
249,baichuan-13b-chat,zh-zeroshot-sc-single,single,no,0.18819422405585529,yes,no,zeroshot
250,baichuan-13b-chat,zh-zeroshot-sc-multiple,multiple,yes,0.0013351134846461949,yes,no,zeroshot
251,baichuan-13b-chat,zh-zeroshot-sc-multiple,multiple,no,0.0013351134846461949,yes,no,zeroshot
252,baichuan-13b-chat,zh-zeroshot-sc+cot-single,single,yes,0.6007616629641384,yes,yes,zeroshot
253,baichuan-13b-chat,zh-zeroshot-sc+cot-single,single,no,0.5226912091399556,yes,yes,zeroshot
254,baichuan-13b-chat,zh-zeroshot-sc+cot-multiple,multiple,yes,0.06275033377837116,yes,yes,zeroshot
255,baichuan-13b-chat,zh-zeroshot-sc+cot-multiple,multiple,no,0.08544726301735647,yes,yes,zeroshot
256,GPT-3.5-turbo,zh-3shot-sc+cot-single,single,yes,0.7362741986670898,yes,yes,3shot
257,GPT-3.5-turbo,zh-3shot-sc+cot-single,single,no,0.7143763884481117,yes,yes,3shot
258,GPT-3.5-turbo,3shot-sc+cot-single,single,yes,0.780069819105046,no,yes,3shot
259,GPT-3.5-turbo,3shot-sc+cot-single,single,no,0.7648365598222786,no,yes,3shot
260,GPT-3.5-turbo,zh-zeroshot-sc+cot-single,single,yes,0.7378609965090448,yes,yes,zeroshot
261,GPT-3.5-turbo,zh-zeroshot-sc+cot-single,single,no,0.707077118375119,yes,yes,zeroshot
262,GPT-3.5-turbo,zeroshot-sc+cot-single,single,yes,0.7651539193906697,no,yes,zeroshot
263,GPT-3.5-turbo,zeroshot-sc+cot-single,single,no,0.7432561091716915,no,yes,zeroshot
264,GPT-3.5-turbo,zh-zeroshot-sc-single,single,yes,0.6363059346239289,yes,no,zeroshot
265,GPT-3.5-turbo,zh-zeroshot-sc-single,single,no,0.6353538559187559,yes,no,zeroshot
266,GPT-3.5-turbo,zeroshot-sc-single,single,yes,0.7207235798159315,no,no,zeroshot
267,GPT-3.5-turbo,zeroshot-sc-single,single,no,0.7172326245636306,no,no,zeroshot
268,GPT-3.5-turbo,zh-3shot-sc-single,single,yes,0.6417010472865757,yes,no,3shot
269,GPT-3.5-turbo,zh-3shot-sc-single,single,no,0.6382100920342748,yes,no,3shot
270,GPT-3.5-turbo,3shot-sc-single,single,yes,0.7267534116153602,no,no,3shot
271,GPT-3.5-turbo,3shot-sc-single,single,no,0.7248492542050142,no,no,3shot
